id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
account_snc_base_receivable,Clientes gerais,2111,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_payable,Fornecedores gerais,2211,account.data_account_type_payable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00302,True
account_snc_base_2113,Clientes - empresas subsidiárias,2113,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2114,Clientes - empresas associadas,2114,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2115,Clientes - empreendimentos conjuntos,2115,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2116,Clientes - outras partes relacionadas,2116,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2118,Clientes gerais (PoS),2118,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2121,Clientes gerais,2121,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2122,Clientes - empresa-mãe,2122,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2123,Clientes - empresas subsidiárias,2123,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2124,Clientes - empresas associadas,2124,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2125,Clientes - empreendimentos conjuntos,2125,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_2126,Clientes - outras partes relacionadas,2126,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_217,Clientes de cobrança duvidosa,217,account.data_account_type_receivable,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,True
account_snc_base_218,Adiantamentos de clientes,218,account.data_account_type_current_assets,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00301,False
account_snc_base_21911,Clientes gerais,21911,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21912,Clientes - empresa-mãe,21912,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21913,Clientes - empresas subsidiárias,21913,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21914,Clientes - empresas associadas,21914,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21915,Clientes - empreendimentos conjuntos,21915,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21916,Clientes - outras partes relacionadas,21916,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21921,Clientes gerais,21921,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21922,Clientes - empresa-mãe,21922,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21923,Clientes - empresas subsidiárias,21923,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
account_snc_base_21924,Clientes - empresas associadas,21924,account.data_account_type_liquidity,ptplus.account_chart_template_snc_base,,False
