id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
account_snc_micro_31823,Embalagens,31823,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_31824,Materiais diversos,31824,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3291,Mercadorias em armazém,3291,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3295,Mercadorias em trânsito,3295,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3296,Mercadorias em poder de terceiros,3296,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3391,Matérias-primas,3391,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3392,Matérias subsidiárias,3392,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3393,Embalagens,3393,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3394,Materiais diversos,3394,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3395,Matérias em trânsito,3395,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3396,"Outras Matérias-primas,subsidiárias e de consumo",3396,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_341,Produtos acabados,341,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_342,Produtos intermédios,342,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3461,Produtos acabados,3461,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3462,Produtos intermédios,3462,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_34911,Produtos acabados,34911,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_34912,Produtos intermédios,34912,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_34961,Produtos acabados,34961,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_34962,Produtos intermédios,34962,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_35911,Subprodutos,35911,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_35912,"Desperdícios, resíduos e refugos",35912,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3598,"Outros subprodutos,desperdícios, resíduos e refugos",3598,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_361,Produtos e trabalhos em curso,361,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_369,Perdas por imparidade acumuladas,369,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3821,Mercadorias em armazém,3821,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3825,Mercadorias em trânsito,3825,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3826,Mercadorias em poder de terceiros,3826,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3831,Matérias-primas,3831,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3832,Matérias subsidiárias,3832,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3833,Embalagens,3833,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3834,Materiais diversos,3834,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3835,Matérias em trânsito,3835,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3841,Produtos acabados,3841,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3842,Produtos intermédios,3842,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3851,Subprodutos,3851,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3852,"Desperdícios, resíduos e refugos",3852,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3921,Matérias-primas,3921,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3922,Matérias subsidiárias,3922,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3923,Embalagens,3923,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_3924,Materiais diversos,3924,account.data_account_type_liquidity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_41911,Participações de capital,41911,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_41912,Empréstimos concedidos,41912,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_431,Terrenos e recursos naturais,431,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_432,Edifícios e outras construções,432,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_433,Equipamento básico,433,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4381,Terrenos e recursos naturais,4381,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4382,Edifícios e outras construções,4382,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4383,Equipamento básico,4383,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4384,Equipamento de transporte,4384,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4385,Equipamento administrativo,4385,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4386,Equipamentos biológicos,4386,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4387,Outros ativos fixos tangíveis,4387,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_441,Goodwill,441,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_442,Projetos de desenvolvimento,442,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4481,Goodwill,4481,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4482,Projetos de desenvolvimento,4482,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4483,Programas de computador,4483,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4484,Propriedade industrial,4484,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4486,Outros ativos intangíveis,4486,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4551,Investimentos financeiros em curso,4551,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4553,Ativos fixos tangíveis em curso,4553,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_4554,Ativos intangíveis em curso,4554,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_micro,,
account_snc_micro_511,Capital subscrito,511,account.data_account_type_equity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_581,Reavaliações decorrentes de diplomas legais,581,account.data_account_type_equity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_589,Outros excedentes,589,account.data_account_type_equity,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6121,Matérias-primas,6121,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6122,Matérias subsidiárias,6122,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6123,Embalagens,6123,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6124,Materiais diversos,6124,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_62211,Trabalhos especializados,62211,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_62212,Pagamentos a trabalhadores colocados através de agências,62212,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6227,Serviços Bancários,6227,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6228,Outros,6228,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_62611,Rendas e alugueres,62611,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_626121,Rendas de Terrenos sem edifícios implantados,626121,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
