id,name,code,user_type_id/id,chart_template_id/id,reconcile
account_snc_esnl_3183,Descontos e abatimentos em compras - Ativos biológicos,3183,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_339,Perdas por imparidade acumuladas,339,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_346,Produtos em poder de terceiros,346,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_349,Perdas por imparidade acumuladas,349,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_359,Perdas por imparidade acumuladas,359,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_3711,Animais,3711,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_3712,Plantas,3712,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_3721,Animais,3721,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_3722,Plantas,3722,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_382,Mercadorias,382,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_383,"Matérias-primas, subsidiárias e de consumo",383,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_384,Produtos acabados e intermédios,384,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_385,"Subprodutos, desperdícios, resíduos e refugos",385,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_387,Ativos biológicos,387,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_392,"Matérias-primas, subsidiárias e de consumo",392,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_393,Ativos biológicos,393,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4111,Participações de capital - método da equivalência patrimonial,4111,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4112,Participações de capital - outros métodos,4112,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4113,Empréstimos concedidos,4113,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4121,Participações de capital - método da equivalência patrimonial,4121,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4122,Participações de capital - outros métodos,4122,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4123,Empréstimos concedidos,4123,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4131,Participações de capital - método da equivalência patrimonial,4131,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4132,Participações de capital - outros métodos,4132,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4133,Empréstimos concedidos,4133,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4151,Detidos até à maturidade,4151,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4158,Outros,4158,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_419,Perdas por imparidade acumuladas,419,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_421,Terrenos e recursos naturais,421,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_422,Edifícios e outras construções,422,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_426,Outras propriedades de investimento,426,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_428,Depreciações acumuladas,428,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_429,Perdas por imparidade acumuladas,429,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4319,Perdas por imparidade acumuladas,4319,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4321,Bens imóveis,4321,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4322,Arquivos,4322,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4323,Bibliotecas,4323,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4324,Museus,4324,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4325,Bens móveis,4325,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4329,Perdas por imparidade acumuladas,4329,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_4339,Perdas por imparidade acumuladas,4339,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_438,Depreciações acumuladas,438,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_439,Perdas por imparidade acumuladas,439,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_441,Bens do domínio público,441,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
